,precision_90,recall_90,F1_90,precision_99,recall_99,F1_99,precision_99.9,recall_99.9,F1_99.9
0,0.005799884,0.213864307,0.011293495,0.0072,0.026548673,0.011327879,0.008,0.002949853,0.004310345
1,0.008599656,0.317109145,0.0167452,0.0146,0.053834808,0.022970422,0.032,0.01179941,0.017241379
2,0.00848,0.312684366,0.016512189,0.0184,0.067846608,0.028949025,0.036,0.013274336,0.019396552
3,0.0113,0.416666667,0.022003271,0.023195361,0.085545723,0.036495202,0.052,0.019174041,0.028017241
4,0.00844,0.31120944,0.016434302,0.0158,0.058259587,0.024858402,0.02,0.007374631,0.010775862
5,0.00754,0.278023599,0.014681829,0.011,0.040560472,0.017306482,0.012,0.004424779,0.006465517
6,0.009079818,0.33480826,0.01768016,0.018796241,0.069321534,0.029573698,0.022,0.008112094,0.011853448
7,0.00866,0.319321534,0.016862684,0.015596881,0.057522124,0.024539877,0.016,0.005899705,0.00862069
8,0.01186,0.437315634,0.023093699,0.0346,0.127581121,0.054436753,0.056,0.020648968,0.030172414
9,0.009,0.331858407,0.017524729,0.017396521,0.064159292,0.027371402,0.033932136,0.012536873,0.018309101
10,0.006119878,0.225663717,0.011916584,0.0112,0.041297935,0.017621145,0.012,0.004424779,0.006465517
11,0.00876,0.32300885,0.017057403,0.014194322,0.052359882,0.022334067,0.017964072,0.006637168,0.009693053
12,0.00958,0.353244838,0.018654101,0.019396121,0.071533923,0.03051754,0.023952096,0.008849558,0.012924071
13,0.00562,0.207227139,0.01094322,0.0096,0.03539823,0.015103839,0.015968064,0.005899705,0.008616047
14,0.009,0.331858407,0.017524729,0.014197161,0.052359882,0.022337581,0.026,0.009587021,0.014008621
15,0.00486,0.17920354,0.009463354,0.008,0.029498525,0.012586532,0.012,0.004424779,0.006465517
16,0.007399852,0.272861357,0.014408941,0.0112,0.041297935,0.017621145,0.014,0.005162242,0.007543103
17,0.00856,0.315634218,0.016667965,0.01239752,0.045722714,0.019506056,0.016,0.005899705,0.00862069
18,0.010339793,0.381268437,0.020133575,0.027,0.099557522,0.042479547,0.046,0.016961652,0.024784483
19,0.01078,0.397492625,0.020990731,0.0268,0.098820059,0.042164884,0.05,0.018436578,0.026939655
20,0.00704,0.259587021,0.013708233,0.0122,0.044985251,0.019194462,0.018,0.006637168,0.009698276
21,0.008459662,0.311946903,0.016472604,0.0156,0.057522124,0.024543738,0.012,0.004424779,0.006465517
22,0.009719806,0.35840708,0.018926339,0.019796041,0.07300885,0.031146767,0.041916168,0.015486726,0.022617124
23,0.01024,0.377581121,0.019939248,0.0262,0.09660767,0.041220894,0.041916168,0.015486726,0.022617124
24,0.00896,0.330383481,0.017446842,0.015796841,0.058259587,0.024854491,0.021956088,0.008112094,0.011847065
25,0.00854,0.314896755,0.016629021,0.019792083,0.07300885,0.031141869,0.053784861,0.019911504,0.029063509
26,0.005959881,0.219764012,0.011605039,0.0158,0.058259587,0.024858402,0.042,0.015486726,0.02262931
27,0.008359833,0.308259587,0.016278209,0.019596081,0.072271386,0.030832154,0.04,0.014749263,0.021551724
28,0.00962,0.354719764,0.018731988,0.019992003,0.073746313,0.031456433,0.044,0.016224189,0.023706897
29,0.00566,0.208702065,0.011021108,0.0088,0.032448378,0.013845186,0.008,0.002949853,0.004310345
30,0.00746,0.275073746,0.014526053,0.0128,0.04719764,0.020138452,0.024,0.008849558,0.012931034
31,0.00752,0.277286136,0.014642885,0.01079784,0.039823009,0.016989146,0.018,0.006637168,0.009698276
32,0.008599828,0.317109145,0.016745526,0.00859828,0.031710914,0.013528394,0.011976048,0.004424779,0.006462036
33,0.010459372,0.385693215,0.02036644,0.0296,0.109144543,0.04657017,0.044,0.016224189,0.023706897
34,0.00744,0.274336283,0.01448711,0.0086,0.031710914,0.013530522,0.018,0.006637168,0.009698276
35,0.00908,0.33480826,0.017680505,0.0186,0.068584071,0.029263688,0.03187251,0.01179941,0.01722282
36,0.009279814,0.342182891,0.018069591,0.025,0.092182891,0.039332914,0.038,0.014011799,0.020474138
37,0.0109,0.401917404,0.021224394,0.0262,0.09660767,0.041220894,0.046,0.016961652,0.024784483
38,0.007139857,0.263274336,0.013902681,0.012997401,0.047935103,0.020449898,0.032,0.01179941,0.017241379
39,0.00722,0.266224189,0.014058727,0.0124,0.045722714,0.019509125,0.028,0.010324484,0.015086207
40,0.0088,0.324483776,0.017135291,0.0146,0.053834808,0.022970422,0.02,0.007374631,0.010775862
41,0.01097978,0.404867257,0.021379753,0.028994201,0.106932153,0.045619003,0.042,0.015486726,0.02262931
42,0.00901982,0.33259587,0.017563331,0.0252,0.092920354,0.039647577,0.064,0.02359882,0.034482759
43,0.00649987,0.239675516,0.012656503,0.0098,0.036135693,0.015418502,0.031936128,0.01179941,0.017232095
44,0.00842,0.310471976,0.016395358,0.015396921,0.056784661,0.024225263,0.031936128,0.01179941,0.017232095
45,0.01374,0.506637168,0.02675442,0.0528,0.194690265,0.083071114,0.121756487,0.044985251,0.065697361
46,0.01012,0.373156342,0.019705585,0.0276,0.101769912,0.043423537,0.026,0.009587021,0.014008621
47,0.00912,0.336283186,0.017758392,0.017193123,0.063421829,0.027052532,0.034,0.012536873,0.018318966
48,0.00866,0.319321534,0.016862684,0.017196561,0.063421829,0.027056788,0.034,0.012536873,0.018318966
49,0.009559618,0.352507375,0.018614432,0.0156,0.057522124,0.024543738,0.034,0.012536873,0.018318966
50,0.00896,0.330383481,0.017446842,0.0148,0.054572271,0.023285085,0.024,0.008849558,0.012931034
51,0.01342,0.494837758,0.026131319,0.052589482,0.193952802,0.082743432,0.074,0.027286136,0.03987069
52,0.011359546,0.418879056,0.022119241,0.038,0.140117994,0.059786029,0.068,0.025073746,0.036637931
53,0.00912,0.336283186,0.017758392,0.0204,0.075221239,0.032095658,0.037924152,0.014011799,0.020463113
54,0.00714,0.263274336,0.013902952,0.009796082,0.036135693,0.015413652,0.008,0.002949853,0.004310345
55,0.005779884,0.213126844,0.011254551,0.0084,0.030973451,0.013215859,0.02,0.007374631,0.010775862
56,0.00726,0.267699115,0.014136615,0.014397121,0.053097345,0.022652194,0.026,0.009587021,0.014008621
57,0.01132,0.41740413,0.022042215,0.035,0.129056047,0.055066079,0.054,0.019911504,0.029094828
58,0.01024,0.377581121,0.019939248,0.019796041,0.07300885,0.031146767,0.01996008,0.007374631,0.010770059
59,0.00772,0.284660767,0.015032323,0.012,0.044247788,0.018879799,0.012,0.004424779,0.006465517
60,0.008379832,0.30899705,0.016317152,0.0242,0.089233038,0.038074261,0.03187251,0.01179941,0.01722282
61,0.010619575,0.39159292,0.020678375,0.025594881,0.09439528,0.040270568,0.038,0.014011799,0.020474138
62,0.00512,0.18879056,0.009969624,0.009,0.033185841,0.014159849,0.006,0.002212389,0.003232759
63,0.00678,0.25,0.013201963,0.0102,0.037610619,0.016047829,0.013972056,0.005162242,0.007539041
64,0.01074,0.396017699,0.020912844,0.027594481,0.101769912,0.043416706,0.056,0.020648968,0.030172414
65,0.01066,0.393067847,0.020757068,0.024790084,0.091445428,0.039005977,0.032,0.01179941,0.017241379
66,0.013779449,0.508112094,0.026831263,0.0406,0.149705015,0.063876652,0.076,0.028023599,0.040948276
67,0.00844,0.31120944,0.016434302,0.0154,0.056784661,0.024229075,0.023952096,0.008849558,0.012924071
68,0.00392,0.144542773,0.007632993,0.0062,0.022861357,0.009754563,0.012,0.004424779,0.006465517
69,0.00858,0.316371681,0.016706909,0.0148,0.054572271,0.023285085,0.022,0.008112094,0.011853448
70,0.00926,0.341445428,0.018030999,0.019396121,0.071533923,0.03051754,0.024,0.008849558,0.012931034
71,0.0083,0.306047198,0.016161695,0.018,0.066371681,0.028319698,0.022,0.008112094,0.011853448
72,0.00756,0.278761062,0.014720773,0.012797441,0.04719764,0.020135284,0.009920635,0.003687316,0.005376344
73,0.0107,0.394542773,0.020834956,0.027,0.099557522,0.042479547,0.031936128,0.01179941,0.017232095
74,0.010039799,0.37020649,0.019549429,0.027394521,0.101032448,0.043102092,0.054,0.019911504,0.029094828
75,0.007279854,0.268436578,0.014175283,0.014394242,0.053097345,0.022648632,0.017964072,0.006637168,0.009693053
76,0.009179816,0.338495575,0.017874876,0.016596681,0.06120944,0.026112946,0.02,0.007374631,0.010775862
77,0.007139857,0.263274336,0.013902681,0.0108,0.039823009,0.016991819,0.019920319,0.007374631,0.010764263
78,0.00868,0.320058997,0.016901628,0.0186,0.068584071,0.029263688,0.042,0.015486726,0.02262931
79,0.009279814,0.342182891,0.018069591,0.021195761,0.078171091,0.033349064,0.043912176,0.016224189,0.02369413
80,0.00686,0.252949853,0.013357738,0.0072,0.026548673,0.011327879,0.015904573,0.005899705,0.008606778
81,0.0079,0.291297935,0.015382818,0.016793283,0.061946903,0.026423404,0.03,0.011061947,0.016163793
82,0.0109,0.401917404,0.021224394,0.0282,0.103982301,0.044367527,0.054,0.019911504,0.029094828
83,0.0061,0.224926254,0.011877872,0.0084,0.030973451,0.013215859,0.008,0.002949853,0.004310345
84,0.007139857,0.263274336,0.013902681,0.0124,0.045722714,0.019509125,0.014,0.005162242,0.007543103
85,0.007739845,0.28539823,0.015070974,0.0176,0.064896755,0.027690371,0.034,0.012536873,0.018318966
86,0.005559889,0.205014749,0.010826178,0.0066,0.024336283,0.010383889,0.012,0.004424779,0.006465517
87,0.00808,0.297935103,0.015733313,0.015,0.055309735,0.023599748,0.031809145,0.01179941,0.017213556
88,0.00849983,0.313421829,0.016550811,0.0164,0.060471976,0.025802391,0.037848606,0.014011799,0.020452099
89,0.00766,0.282448378,0.014915492,0.0109978,0.040560472,0.01730376,0.016,0.005899705,0.00862069
90,0.011739765,0.432890855,0.022859591,0.026394721,0.097345133,0.041529023,0.04,0.014749263,0.021551724
91,0.0121,0.446165192,0.023561025,0.040591882,0.149705015,0.063866604,0.08,0.029498525,0.043103448
92,0.00792,0.292035398,0.015421762,0.0168,0.061946903,0.026431718,0.03,0.011061947,0.016163793
93,0.0079,0.291297935,0.015382818,0.0126,0.046460177,0.019823789,0.024,0.008849558,0.012931034
94,0.010259384,0.378318584,0.019977024,0.026394721,0.097345133,0.041529023,0.073852295,0.027286136,0.039849219
95,0.011,0.40560472,0.021419114,0.028794241,0.10619469,0.045304389,0.078,0.028761062,0.042025862
96,0.0093,0.342920354,0.018108887,0.018196361,0.067109145,0.028629857,0.033932136,0.012536873,0.018309101
97,0.0075,0.276548673,0.014603941,0.014997001,0.055309735,0.023596036,0.026,0.009587021,0.014008621
98,0.0083,0.306047198,0.016161695,0.014194322,0.052359882,0.022334067,0.022,0.008112094,0.011853448
99,0.00904,0.333333333,0.017602617,0.0228,0.084070796,0.035871617,0.03,0.011061947,0.016163793
,,,,0.009040722,0.033338833,0.014224176,0.019465011,0.007182794,0.010493402